1,1.1,1.1.1,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.2,1.2.1,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.3,1.3.1,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.38,1.39,1.4,1.4.1,1.41,1.42,1.43,1.44,1.45,1.46,1.47,1.48,1.49,1.5,1.5.1,1.51,1.6,1.7,1.8,1.9,2,2.1,2.1.1,2.11,2.12,2.13,2.14,2.15,2.16,2.18,2.19,2.2,2.2.1,2.21,2.22,2.23,2.24,2.25,2.26,2.27,2.28,2.29,2.3,2.3.1,2.31,2.32,2.33,2.34,2.35,2.36,2.37,2.38,2.39,2.4,2.4.1,2.41,2.42,2.43,2.44,2.45,2.46,2.47,2.48,2.49,2.5,2.5.1,2.51,2.6,2.7,2.8,2.9,3,3.1,3.1.1,3.11,3.12,3.13,3.14,3.15,3.16,3.17,3.18,3.19,3.2,3.2.1,3.21,3.22,3.23,3.24,3.25,3.26,3.27,3.28,3.29,3.3,3.3.1,3.31,3.32,3.33,3.34,3.35,3.36,3.37,3.38,3.39,3.4,3.4.1,3.41,3.42,3.43,3.44,3.45,3.46,3.47,3.48,3.49,3.5,3.5.1,3.6,3.7,3.8,3.9,4,4.1,4.1.1,4.11,4.12,4.13,4.14,4.15,4.16,4.17,4.18,4.19,4.2,4.2.1,4.21,4.22,4.23,4.24,4.25,4.26,4.27,4.28,4.29,4.3,4.3.1,4.31,4.32,4.33,4.34,4.35,4.36,4.37,4.38,4.39,4.4,4.4.1,4.41,4.42,4.43,4.44,4.45,4.46,4.47,4.48,4.49,4.5,4.5.1,4.6,4.7,4.8,4.9,5,5.1,5.1.1,5.11,5.12,5.13,5.14,5.15,5.16,5.17,5.18,5.19,5.2,5.2.1,5.21,5.22,5.23,5.24,5.25,5.26,5.27,5.28,5.29,5.3,5.3.1,5.31,5.32,5.33,5.34,5.35,5.36,5.37,5.38,5.39,5.4,5.4.1,5.41,5.42,5.43,5.44,5.45,5.46,5.47,5.48,5.49,5.5,5.5.1,5.51,5.52,5.6,5.7,5.8,5.9,taxonomy
179,77,0,7,334,46,2,243,214,396,297,74,20,178,25,21,212,9,23,0,8,0,18,2,1,0,6,4,1,3,0,1,0,0,0,0,0,4,6,4,4,0,0,0,0,34,13,45,1205,528,106,1,3,16,0,0,2,0,0,2,230,10,0,3,0,12,0,4,1,13,265,46,9,33,1,23,20,93,3,52,22,0,0,0,0,0,0,7,0,0,154,15,81,0,2,31,0,1,1,8,18,7,0,8,174,498,15,875,778,6,10,330,454,34,1,288,52,29,63,110,676,266,550,513,54,0,630,2,3,26,1,1,110,381,264,16,39,36,3,40,5,32,486,24,64,801,10,51,267,423,5,2,890,392,60,42,287,149,162,168,4,19,13,25,83,150,157,111,160,110,42,35,88,35,100,129,33,53,217,221,333,126,4,27,3,216,29,118,59,60,38,66,708,4,12,248,95,1963,245,1,309,22,20,74,16,633,1232,54,50,169,9,14,12,1,14,28,6,17,111,70,12,235,315,535,0,3,0,0,102,125,446,9,7,84,21,131,334,240,965,15,480,300,204,212,46,180,286,286,950,33,133,0,210,2,6,485,266,126,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans
0,0,0,0,0,0,0,0,0,35,1,0,0,2,0,0,0,75,118,70,80,159,56,0,79,8,509,515,725,437,51,8,28,126,0,222,602,219,102,289,94,236,16,5,0,0,1,0,1,0,0,0,106,28,459,565,7,29,0,12,0,6,49,58,72,9,57,2839,92,89,18,0,13,238,24,34,9,0,19,1672,64,0,0,0,0,13,0,0,0,1,0,52,846,123,1,0,21,0,0,53,1,245,388,0,0,0,0,0,0,80,129,0,0,66,142,0,0,0,16,7,0,0,0,0,0,0,0,0,1,117,71,6,123,57,51,29,165,3,690,1626,0,2,0,0,1,0,0,0,0,0,8,15,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,4,0,1,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus
28,21,0,8,16,7,3,57,35,183,67,4,4,3,5,7,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,65,184,5,0,0,0,0,2,0,0,1,1,71,0,0,0,0,2,0,1,0,1,1,10,1,0,0,1,5,5,0,13,0,0,0,0,0,0,1,1,0,0,89,2,7,0,1,4,0,1,1,1,2,1,0,0,72,320,44,15,23,1,5,117,198,14,1,28,25,0,7,3,215,56,122,256,1,0,94,0,2,38,0,0,5,240,0,39,20,0,0,21,0,8,0,10,3,272,4,0,30,1,1,0,0,11,0,0,1,0,59,13,0,8,0,40,0,0,106,0,1,10,1,0,0,19,80,0,1,15,117,7,13,100,0,5,1,23,12,42,1,3,0,9,405,0,1,130,17,253,33,0,195,15,0,0,22,163,154,6,109,4,3,6,4,0,0,2,0,2,27,17,2,66,103,136,0,0,0,0,3,45,1,5,4,0,4,0,3,85,177,1,169,0,5,106,48,29,51,24,81,22,13,0,102,0,1,37,57,70,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,32,34,30,46,37,0,38,0,191,283,210,166,26,1,21,63,0,70,127,71,22,181,58,146,5,0,0,0,5,1,0,0,0,0,39,4,82,160,1,12,0,2,0,4,12,13,16,3,42,862,35,49,3,3,7,17,5,18,2,0,5,598,10,0,0,0,0,4,0,0,0,0,0,17,318,36,0,0,9,0,0,9,4,49,84,0,0,0,0,0,0,31,12,0,0,32,98,0,0,0,20,0,0,0,0,0,0,0,0,0,0,21,10,0,35,21,32,0,47,0,211,460,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,8,1,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus
42,17,0,4,28,22,2,55,129,87,57,19,33,6,8,2,28,8,2,7,0,6,2,0,1,0,0,2,1,2,1,1,0,0,0,2,2,5,0,19,1,4,3,0,0,3,5,19,256,222,49,0,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,3,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,11,2,0,0,0,4,1,1,0,0,15,3,4,6,6,134,75,594,0,102,4,132,189,16,6,10,70,0,0,5,95,12,374,23,53,1,24,2,0,0,0,0,0,0,0,7,23,11,0,0,4,26,1,0,66,21,1,0,192,19,0,0,57,32,0,5,38,5,4,7,27,0,34,0,0,25,0,2,2,7,4,18,0,1,0,0,1,0,0,65,0,0,0,0,0,0,0,6,0,0,0,33,7,0,0,30,9,0,0,0,0,0,14,0,0,0,17,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,3,2,49,12,0,0,0,12,1,3,0,0,41,0,7,3,6,2,40,182,128,0,8,0,41,0,0,0,0,35,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes
8,7,0,0,2,1,2,32,1,66,30,0,17,15,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,54,23,0,0,2,4,0,0,0,0,0,16,1,1,0,0,0,0,0,0,3,23,0,2,1,0,25,0,0,0,7,1,0,0,0,0,0,0,0,0,0,18,0,12,0,0,8,0,1,0,0,1,0,0,0,70,28,1,91,27,0,2,300,20,11,22,202,93,6,0,5,209,12,34,20,13,0,2,3,0,0,0,0,2,0,46,26,4,46,2,20,0,9,22,37,20,7,38,10,97,36,1,0,102,60,3,9,0,4,28,1,0,1,8,0,98,9,9,13,1,0,40,0,10,0,0,31,7,1,16,2,12,136,0,2,0,2,2,9,101,0,0,17,23,0,2,22,0,157,0,12,0,2,1,11,0,0,38,6,14,2,5,1,0,0,5,1,0,1,0,0,0,74,95,147,0,1,0,0,1,12,7,11,0,0,3,4,0,9,29,1,24,18,0,27,1,1,12,0,530,15,1,0,0,0,0,51,37,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;pseudogrignonense
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,37,1,0,3,0,0,0,0,0,0,16,25,2,7,1,4,1,2,0,3,1,0,0,0,0,0,0,0,0,0,77,5,7,0,0,14,0,1,0,1,1,1,0,1,3,14,36,58,476,5,1,79,114,20,7,81,80,0,5,14,107,13,272,14,37,2,228,0,0,35,1,0,11,19,2,4,7,29,2,0,1,4,26,40,89,119,6,1,15,176,0,0,198,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,101,3,3,6,2,4,0,1,9,0,1,3,1,2,9,85,47,30,0,0,0,0,37,0,51,0,0,11,0,10,12,16,354,0,47,3,8,45,5,0,12,6,141,5,36,0,21,0,0,13,48,13,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,1,3,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,0,17,15,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,142,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,4,1,5,0,18,8,0,68,14,0,0,650,1688,3,339,1,296,0,0,2,0,1,1,5,15,1,0,11,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,0,0,1,0,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;sanguinis
2,1,0,0,4,1,0,12,12,93,56,0,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,57,23,0,0,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,15,3,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,5,1,0,0,0,2,0,0,3,4,23,22,132,149,8,6,4,21,2,0,136,57,0,0,17,49,27,102,33,0,0,32,0,0,8,0,0,19,17,0,38,0,21,2,0,0,3,43,31,15,80,8,0,39,153,1,1,41,162,0,10,0,2,25,0,0,1,10,13,22,23,2,15,6,1,44,17,1,2,5,4,6,9,108,36,178,0,1,31,0,0,0,0,0,8,0,25,27,1,1,0,20,365,0,1,0,0,0,7,20,27,2,0,37,8,21,0,0,1,14,0,2,1,0,12,6,3,5,159,0,0,0,0,16,2,3,0,2,0,1,0,0,8,94,0,0,3,0,17,2,1,0,61,34,5,13,0,15,0,0,43,0,0,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,5,5,1,0,2,1,3,28,31,59,117,32,92,25,0,36,26,16,86,48,60,99,4,0,0,0,0,0,0,0,0,0,18,44,187,193,81,3,7,25,0,15,5,42,2,0,3,89,3,147,5,0,17,42,4,22,11,14,5,10,12,1,0,0,0,15,0,0,0,0,0,12,6,2,0,0,7,0,0,25,22,172,178,0,0,0,0,0,0,119,9,0,0,28,17,0,0,0,118,12,0,0,0,0,0,0,0,0,0,2,41,108,35,3,14,43,22,42,25,249,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,26,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,0,0,46,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;NA
